Course Code,Contact Person,Course Title,Credits,Other Info,Restrictions,Equivalents,Prerequisites
EDUC102,,Child and Adolescent Development,15 points,EDUC102-25S1 (C) Semester One 2025,"TEDU110, AKOE171",TEDU110,"TEDU110, AKOE171 ,  TEDU110 , TEDU102, EDUC121, TEDU150, AKOE171"
SPSC114,,The Art and Science of Human Communication,15 points,SPSC114-25S1 (C) Semester One 2025,,,
PSYC207,,Developmental Psychology,15 points,PSYC207-25S1 (C) Semester One 2025,"PSYC105, PSYC106",,"PSYC106, PSYC105, PSYC105  and  PSYC106"
PSYC208,,Cognition,15 points,PSYC208-25S2 (C) Semester Two 2025,"PSYC105, PSYC106",,"PSYC105  and  PSYC106 , or with the approval of the Head of School, a pass in a professional year of Engineering, or in approved courses in Computer Science, Linguistics, or Philosophy, PSYC105, PSYC106"
PSYC215,,Introductory Cognitive and Behavioural Neuroscience,15 points,PSYC215-25S2 (C) Semester Two 2025,"ARTS102, PSYC107, PSYC105, PSYC106",,"P:  PSYC105  and  PSYC106   RP:  PSYC107  or  ARTS102, PSYC105, PSYC107, ARTS102, PSYC106"
LING221/PSYC221,Heeju Hwang (https://profiles.canterbury.ac.nz/Heeju-Hwang),Psychology of Language,15 points,LING221-25S1 (C) Semester One 2025/PSYC221-25S1 (C) Semester One 2025,"PSYC105, PSYC107, LING101","LING221, PSYC221","PSYC105, PSYC107, LING101 ,  PSYC105 , or PSYC107, LING101"
PROD251,Wendy Zhang (https://courseinfo.canterbury.ac.nz/ShowPeopleDetails.aspx?id=247452),Human Centred Design Methods for Interactive Digital Products,15 points,PROD251-25S1 (C) Semester One 2025,PROD151,,PROD151
PHIL252,,Philosophical Issues in Cognitive Science and AI,15 points,PHIL252-25S1 (C) Semester One 2025,,,"Any 15 points at 100 level in PHIL, or any 60 points at 100 level from the Schedule V of the BA or the BSc."
SPSC262,Tracy Melzer (https://courseinfo.canterbury.ac.nz/ShowPeopleDetails.aspx?id=216274),Neuroscience of Swallowing and Communication,15 points,SPSC262-25S1 (C) Semester One 2025,SPSC667,,"SPSC667, SPSC667 , CMDS162"
DIGI301/ENGL345,Christopher Thomson (https://profiles.canterbury.ac.nz/Christopher-Thomson),Close to the machine: digital literatures from the avant-garde to AI,30 points,DIGI301-25S2 (C) Semester Two 2025/ENGL345-25S2 (C) Semester Two 2025,,"DIGI301, ENGL345","Any 30 points at 200 level from DIGI or ENGL, or any 60 points at 200 level from the Schedule V of the BA."
PSYC373,John Dalrymple-Alford (https://courseinfo.canterbury.ac.nz/ShowPeopleDetails.aspx?id=28623),Neuroscience and Neurological Disorders,15 points,PSYC373-25S1 (C) Semester One 2025,"PSYC206, PSYC215",,"Psyc105,  PSYC206  and  PSYC215, PSYC206, PSYC215"
PSYC379,,Introduction to Psychopathology,15 points,PSYC379-25S1 (C) Semester One 2025,PSYC206,,PSYC206
PSYC381,,Applied Neuroscience: Brain Imaging,15 points,PSYC381-25S2 (C) Semester Two 2025,"PSYC206, PSYC215",PSYC373,"PSYC206, PSYC215, PSYC206  and  PSYC215"
PSYC385,,"Human Factors: The Forces that Shape Behaviour with Products, Technology, and Systems",15 points,PSYC385-25S1 (C) Semester One 2025,"PSYC208, PSYC206, PSYC209, PSYC213","PSYC208, PSYC209, PSYC213","PSYC206, PSYC206  or 60 points at 200 level from any approved subject. RP:  PSYC213 / PSYC209  or  PSYC208 ., PSYC208, PSYC213, PSYC209"
